2023-08-01 08:15:16.254 -04:00 [INF] Starting up!
2023-08-01 08:15:16.351 -04:00 [INF] ElevatorSensorData { MovementDirection = Up, MovementState = Stopped, ElevatorEvent = Idling, CurrentFloor = 1, NextFloor = 1, CurrentWeight = 0, MaxWeight = 1000, WeightLimitReached = False }
2023-08-01 08:15:31.846 -04:00 [INF] ElevatorSensorData { MovementDirection = Up, MovementState = Moving, ElevatorEvent = FinishedMovingToFloor, CurrentFloor = 5, NextFloor = 5, CurrentWeight = 0, MaxWeight = 1000, WeightLimitReached = False }
2023-08-01 08:15:31.848 -04:00 [INF] ElevatorSensorData { MovementDirection = Up, MovementState = Moving, ElevatorEvent = StartMovingToFloor, CurrentFloor = 5, NextFloor = 6, CurrentWeight = 0, MaxWeight = 1000, WeightLimitReached = False }
2023-08-01 08:15:34.861 -04:00 [INF] ElevatorSensorData { MovementDirection = Up, MovementState = Moving, ElevatorEvent = FinishedMovingToFloor, CurrentFloor = 6, NextFloor = 6, CurrentWeight = 0, MaxWeight = 1000, WeightLimitReached = False }
2023-08-01 08:15:34.869 -04:00 [INF] ElevatorSensorData { MovementDirection = Up, MovementState = Moving, ElevatorEvent = StartMovingToFloor, CurrentFloor = 6, NextFloor = 7, CurrentWeight = 0, MaxWeight = 1000, WeightLimitReached = False }
2023-08-01 08:15:37.861 -04:00 [INF] ElevatorSensorData { MovementDirection = Up, MovementState = Moving, ElevatorEvent = FinishedMovingToFloor, CurrentFloor = 7, NextFloor = 7, CurrentWeight = 0, MaxWeight = 1000, WeightLimitReached = False }
2023-08-01 08:15:37.868 -04:00 [INF] ElevatorSensorData { MovementDirection = Up, MovementState = Moving, ElevatorEvent = StartMovingToFloor, CurrentFloor = 7, NextFloor = 8, CurrentWeight = 0, MaxWeight = 1000, WeightLimitReached = False }
2023-08-01 08:15:40.861 -04:00 [INF] ElevatorSensorData { MovementDirection = Up, MovementState = Moving, ElevatorEvent = FinishedMovingToFloor, CurrentFloor = 8, NextFloor = 8, CurrentWeight = 0, MaxWeight = 1000, WeightLimitReached = False }
2023-08-01 08:15:40.869 -04:00 [INF] ElevatorSensorData { MovementDirection = Up, MovementState = Moving, ElevatorEvent = StartMovingToFloor, CurrentFloor = 8, NextFloor = 9, CurrentWeight = 0, MaxWeight = 1000, WeightLimitReached = False }
2023-08-01 08:15:43.877 -04:00 [INF] ElevatorSensorData { MovementDirection = Up, MovementState = Moving, ElevatorEvent = FinishedMovingToFloor, CurrentFloor = 9, NextFloor = 9, CurrentWeight = 0, MaxWeight = 1000, WeightLimitReached = False }
2023-08-01 08:15:43.885 -04:00 [INF] ElevatorSensorData { MovementDirection = Up, MovementState = Moving, ElevatorEvent = StartMovingToFloor, CurrentFloor = 9, NextFloor = 10, CurrentWeight = 0, MaxWeight = 1000, WeightLimitReached = False }
2023-08-01 08:15:46.893 -04:00 [INF] ElevatorSensorData { MovementDirection = Up, MovementState = Moving, ElevatorEvent = FinishedMovingToFloor, CurrentFloor = 10, NextFloor = 10, CurrentWeight = 0, MaxWeight = 1000, WeightLimitReached = False }
2023-08-01 08:15:46.906 -04:00 [INF] ElevatorSensorData { MovementDirection = Up, MovementState = Stopped, ElevatorEvent = WaitOnFloor, CurrentFloor = 10, NextFloor = 10, CurrentWeight = 0, MaxWeight = 1000, WeightLimitReached = False }
2023-08-01 08:15:47.914 -04:00 [INF] ElevatorSensorData { MovementDirection = Down, MovementState = Stopped, ElevatorEvent = ChangeDirections, CurrentFloor = 10, NextFloor = 10, CurrentWeight = 0, MaxWeight = 1000, WeightLimitReached = False }
2023-08-01 08:15:47.926 -04:00 [INF] ElevatorSensorData { MovementDirection = Down, MovementState = Moving, ElevatorEvent = StartMovingToFloor, CurrentFloor = 10, NextFloor = 9, CurrentWeight = 0, MaxWeight = 1000, WeightLimitReached = False }
2023-08-01 08:15:50.924 -04:00 [INF] ElevatorSensorData { MovementDirection = Down, MovementState = Moving, ElevatorEvent = FinishedMovingToFloor, CurrentFloor = 9, NextFloor = 9, CurrentWeight = 0, MaxWeight = 1000, WeightLimitReached = False }
2023-08-01 08:15:50.930 -04:00 [INF] ElevatorSensorData { MovementDirection = Down, MovementState = Moving, ElevatorEvent = StartMovingToFloor, CurrentFloor = 9, NextFloor = 8, CurrentWeight = 0, MaxWeight = 1000, WeightLimitReached = False }
2023-08-01 08:15:53.924 -04:00 [INF] ElevatorSensorData { MovementDirection = Down, MovementState = Moving, ElevatorEvent = FinishedMovingToFloor, CurrentFloor = 8, NextFloor = 8, CurrentWeight = 0, MaxWeight = 1000, WeightLimitReached = False }
2023-08-01 08:15:53.929 -04:00 [INF] ElevatorSensorData { MovementDirection = Down, MovementState = Moving, ElevatorEvent = StartMovingToFloor, CurrentFloor = 8, NextFloor = 7, CurrentWeight = 0, MaxWeight = 1000, WeightLimitReached = False }
2023-08-01 08:15:56.924 -04:00 [INF] ElevatorSensorData { MovementDirection = Down, MovementState = Moving, ElevatorEvent = FinishedMovingToFloor, CurrentFloor = 7, NextFloor = 7, CurrentWeight = 0, MaxWeight = 1000, WeightLimitReached = False }
2023-08-01 08:15:56.929 -04:00 [INF] ElevatorSensorData { MovementDirection = Down, MovementState = Moving, ElevatorEvent = StartMovingToFloor, CurrentFloor = 7, NextFloor = 6, CurrentWeight = 0, MaxWeight = 1000, WeightLimitReached = False }
2023-08-01 08:15:59.924 -04:00 [INF] ElevatorSensorData { MovementDirection = Down, MovementState = Moving, ElevatorEvent = FinishedMovingToFloor, CurrentFloor = 6, NextFloor = 6, CurrentWeight = 0, MaxWeight = 1000, WeightLimitReached = False }
2023-08-01 08:15:59.926 -04:00 [INF] ElevatorSensorData { MovementDirection = Down, MovementState = Moving, ElevatorEvent = StartMovingToFloor, CurrentFloor = 6, NextFloor = 5, CurrentWeight = 0, MaxWeight = 1000, WeightLimitReached = False }
2023-08-01 08:16:02.940 -04:00 [INF] ElevatorSensorData { MovementDirection = Down, MovementState = Moving, ElevatorEvent = FinishedMovingToFloor, CurrentFloor = 5, NextFloor = 5, CurrentWeight = 0, MaxWeight = 1000, WeightLimitReached = False }
2023-08-01 08:16:02.945 -04:00 [INF] ElevatorSensorData { MovementDirection = Down, MovementState = Moving, ElevatorEvent = StartMovingToFloor, CurrentFloor = 5, NextFloor = 4, CurrentWeight = 0, MaxWeight = 1000, WeightLimitReached = False }
2023-08-01 08:16:05.940 -04:00 [INF] ElevatorSensorData { MovementDirection = Down, MovementState = Moving, ElevatorEvent = FinishedMovingToFloor, CurrentFloor = 4, NextFloor = 4, CurrentWeight = 0, MaxWeight = 1000, WeightLimitReached = False }
2023-08-01 08:16:05.948 -04:00 [INF] ElevatorSensorData { MovementDirection = Down, MovementState = Moving, ElevatorEvent = StartMovingToFloor, CurrentFloor = 4, NextFloor = 3, CurrentWeight = 0, MaxWeight = 1000, WeightLimitReached = False }
2023-08-01 08:16:08.940 -04:00 [INF] ElevatorSensorData { MovementDirection = Down, MovementState = Moving, ElevatorEvent = FinishedMovingToFloor, CurrentFloor = 3, NextFloor = 3, CurrentWeight = 0, MaxWeight = 1000, WeightLimitReached = False }
2023-08-01 08:16:08.947 -04:00 [INF] ElevatorSensorData { MovementDirection = Down, MovementState = Moving, ElevatorEvent = StartMovingToFloor, CurrentFloor = 3, NextFloor = 2, CurrentWeight = 0, MaxWeight = 1000, WeightLimitReached = False }
2023-08-01 08:16:11.955 -04:00 [INF] ElevatorSensorData { MovementDirection = Down, MovementState = Moving, ElevatorEvent = FinishedMovingToFloor, CurrentFloor = 2, NextFloor = 2, CurrentWeight = 0, MaxWeight = 1000, WeightLimitReached = False }
2023-08-01 08:16:11.963 -04:00 [INF] ElevatorSensorData { MovementDirection = Down, MovementState = Stopped, ElevatorEvent = WaitOnFloor, CurrentFloor = 2, NextFloor = 2, CurrentWeight = 0, MaxWeight = 1000, WeightLimitReached = False }
2023-08-01 08:16:12.956 -04:00 [INF] ElevatorSensorData { MovementDirection = Down, MovementState = Moving, ElevatorEvent = StartMovingToFloor, CurrentFloor = 2, NextFloor = 1, CurrentWeight = 0, MaxWeight = 1000, WeightLimitReached = False }
2023-08-01 08:16:15.955 -04:00 [INF] ElevatorSensorData { MovementDirection = Down, MovementState = Moving, ElevatorEvent = FinishedMovingToFloor, CurrentFloor = 1, NextFloor = 1, CurrentWeight = 0, MaxWeight = 1000, WeightLimitReached = False }
2023-08-01 08:16:15.957 -04:00 [INF] ElevatorSensorData { MovementDirection = Down, MovementState = Stopped, ElevatorEvent = WaitOnFloor, CurrentFloor = 1, NextFloor = 1, CurrentWeight = 0, MaxWeight = 1000, WeightLimitReached = False }
2023-08-01 08:16:16.972 -04:00 [INF] ElevatorSensorData { MovementDirection = Down, MovementState = Stopped, ElevatorEvent = Idling, CurrentFloor = 1, NextFloor = 1, CurrentWeight = 0, MaxWeight = 1000, WeightLimitReached = False }
2023-08-01 08:16:19.987 -04:00 [INF] ElevatorSensorData { MovementDirection = Down, MovementState = Stopped, ElevatorEvent = Idling, CurrentFloor = 1, NextFloor = 1, CurrentWeight = 0, MaxWeight = 1000, WeightLimitReached = False }
2023-08-01 08:16:22.987 -04:00 [INF] ElevatorSensorData { MovementDirection = Down, MovementState = Stopped, ElevatorEvent = Idling, CurrentFloor = 1, NextFloor = 1, CurrentWeight = 0, MaxWeight = 1000, WeightLimitReached = False }
2023-08-01 08:16:40.406 -04:00 [INF] ButtonPress { Floor = 3, MovementDirection = Inside }
2023-08-01 08:16:40.408 -04:00 [INF] ElevatorSensorData { MovementDirection = Up, MovementState = Stopped, ElevatorEvent = ChangeDirections, CurrentFloor = 1, NextFloor = 1, CurrentWeight = 0, MaxWeight = 1000, WeightLimitReached = False }
2023-08-01 08:16:40.409 -04:00 [INF] ElevatorSensorData { MovementDirection = Up, MovementState = Moving, ElevatorEvent = StartMovingToFloor, CurrentFloor = 1, NextFloor = 2, CurrentWeight = 0, MaxWeight = 1000, WeightLimitReached = False }
2023-08-01 08:16:43.404 -04:00 [INF] ElevatorSensorData { MovementDirection = Up, MovementState = Moving, ElevatorEvent = FinishedMovingToFloor, CurrentFloor = 2, NextFloor = 2, CurrentWeight = 0, MaxWeight = 1000, WeightLimitReached = False }
2023-08-01 08:16:43.411 -04:00 [INF] ElevatorSensorData { MovementDirection = Up, MovementState = Moving, ElevatorEvent = StartMovingToFloor, CurrentFloor = 2, NextFloor = 3, CurrentWeight = 0, MaxWeight = 1000, WeightLimitReached = False }
2023-08-01 08:16:46.419 -04:00 [INF] ElevatorSensorData { MovementDirection = Up, MovementState = Moving, ElevatorEvent = FinishedMovingToFloor, CurrentFloor = 3, NextFloor = 3, CurrentWeight = 0, MaxWeight = 1000, WeightLimitReached = False }
2023-08-01 08:16:46.427 -04:00 [INF] ElevatorSensorData { MovementDirection = Up, MovementState = Stopped, ElevatorEvent = WaitOnFloor, CurrentFloor = 3, NextFloor = 3, CurrentWeight = 0, MaxWeight = 1000, WeightLimitReached = False }
2023-08-01 08:16:47.435 -04:00 [INF] ElevatorSensorData { MovementDirection = Up, MovementState = Stopped, ElevatorEvent = Idling, CurrentFloor = 3, NextFloor = 3, CurrentWeight = 0, MaxWeight = 1000, WeightLimitReached = False }
2023-08-01 08:49:00.684 -04:00 [INF] ButtonPress { Floor = 9, MovementDirection = Inside }
2023-08-01 08:49:00.686 -04:00 [INF] ElevatorSensorData { MovementDirection = Up, MovementState = Moving, ElevatorEvent = StartMovingToFloor, CurrentFloor = 3, NextFloor = 4, CurrentWeight = 0, MaxWeight = 1000, WeightLimitReached = False }
2023-08-01 08:49:03.682 -04:00 [INF] ElevatorSensorData { MovementDirection = Up, MovementState = Moving, ElevatorEvent = FinishedMovingToFloor, CurrentFloor = 4, NextFloor = 4, CurrentWeight = 0, MaxWeight = 1000, WeightLimitReached = False }
2023-08-01 08:49:03.684 -04:00 [INF] ElevatorSensorData { MovementDirection = Up, MovementState = Moving, ElevatorEvent = StartMovingToFloor, CurrentFloor = 4, NextFloor = 5, CurrentWeight = 0, MaxWeight = 1000, WeightLimitReached = False }
2023-08-01 08:49:06.682 -04:00 [INF] ElevatorSensorData { MovementDirection = Up, MovementState = Moving, ElevatorEvent = FinishedMovingToFloor, CurrentFloor = 5, NextFloor = 5, CurrentWeight = 0, MaxWeight = 1000, WeightLimitReached = False }
2023-08-01 08:49:06.688 -04:00 [INF] ElevatorSensorData { MovementDirection = Up, MovementState = Moving, ElevatorEvent = StartMovingToFloor, CurrentFloor = 5, NextFloor = 6, CurrentWeight = 0, MaxWeight = 1000, WeightLimitReached = False }
2023-08-01 08:49:09.682 -04:00 [INF] ElevatorSensorData { MovementDirection = Up, MovementState = Moving, ElevatorEvent = FinishedMovingToFloor, CurrentFloor = 6, NextFloor = 6, CurrentWeight = 0, MaxWeight = 1000, WeightLimitReached = False }
2023-08-01 08:49:09.690 -04:00 [INF] ElevatorSensorData { MovementDirection = Up, MovementState = Moving, ElevatorEvent = StartMovingToFloor, CurrentFloor = 6, NextFloor = 7, CurrentWeight = 0, MaxWeight = 1000, WeightLimitReached = False }
2023-08-01 08:49:12.698 -04:00 [INF] ElevatorSensorData { MovementDirection = Up, MovementState = Moving, ElevatorEvent = FinishedMovingToFloor, CurrentFloor = 7, NextFloor = 7, CurrentWeight = 0, MaxWeight = 1000, WeightLimitReached = False }
2023-08-01 08:49:12.702 -04:00 [INF] ElevatorSensorData { MovementDirection = Up, MovementState = Moving, ElevatorEvent = StartMovingToFloor, CurrentFloor = 7, NextFloor = 8, CurrentWeight = 0, MaxWeight = 1000, WeightLimitReached = False }
2023-08-01 08:49:15.710 -04:00 [INF] ElevatorSensorData { MovementDirection = Up, MovementState = Moving, ElevatorEvent = FinishedMovingToFloor, CurrentFloor = 8, NextFloor = 8, CurrentWeight = 0, MaxWeight = 1000, WeightLimitReached = False }
2023-08-01 08:49:15.712 -04:00 [INF] ElevatorSensorData { MovementDirection = Up, MovementState = Moving, ElevatorEvent = StartMovingToFloor, CurrentFloor = 8, NextFloor = 9, CurrentWeight = 0, MaxWeight = 1000, WeightLimitReached = False }
2023-08-01 08:49:18.710 -04:00 [INF] ElevatorSensorData { MovementDirection = Up, MovementState = Moving, ElevatorEvent = FinishedMovingToFloor, CurrentFloor = 9, NextFloor = 9, CurrentWeight = 0, MaxWeight = 1000, WeightLimitReached = False }
2023-08-01 08:49:18.712 -04:00 [INF] ElevatorSensorData { MovementDirection = Up, MovementState = Stopped, ElevatorEvent = WaitOnFloor, CurrentFloor = 9, NextFloor = 9, CurrentWeight = 0, MaxWeight = 1000, WeightLimitReached = False }
2023-08-01 08:49:19.726 -04:00 [INF] ElevatorSensorData { MovementDirection = Up, MovementState = Stopped, ElevatorEvent = Idling, CurrentFloor = 9, NextFloor = 9, CurrentWeight = 0, MaxWeight = 1000, WeightLimitReached = False }
2023-08-01 08:49:49.659 -04:00 [INF] Shutting Down!
